"Time","DTA_JIT_BPS","DTA_AOT_BPS"
2024-04-30 23:52:00,3.07 ms,18.3 ms
2024-04-30 23:53:00,3.07 ms,18.3 ms
2024-04-30 23:54:00,3.07 ms,18.3 ms
2024-04-30 23:55:00,3.07 ms,18.3 ms
