"Time","fus-aot-service","eps-aot-service","bps-jit-service","srs-jit-service","fus-jit-service","bps-aot-service","eps-jit-service","srs-aot-service"
2024-04-29 18:23:00,,,,41.3 MB,35.9 MB,,,41.1 MB
2024-04-29 18:24:00,52.5 MB,,,41.3 MB,40.0 MB,,35.3 MB,41.1 MB
2024-04-29 18:25:00,52.5 MB,36.5 MB,36.3 MB,41.3 MB,40.0 MB,37.7 MB,35.3 MB,41.1 MB
2024-04-29 18:26:00,52.5 MB,36.5 MB,36.3 MB,41.3 MB,40.0 MB,37.9 MB,35.3 MB,41.1 MB
2024-04-29 18:27:00,52.5 MB,36.5 MB,36.3 MB,41.3 MB,40.0 MB,37.9 MB,35.3 MB,41.1 MB
2024-04-29 18:28:00,52.5 MB,36.5 MB,36.3 MB,,40.0 MB,37.9 MB,35.3 MB,
2024-04-29 18:29:00,,36.5 MB,36.3 MB,,,37.9 MB,,
2024-04-29 18:30:00,,,,,,37.9 MB,,
