"Time","SRS-AOT","SRS-JIT","SRS-JIT-Trimmed"
"2024-05-12 12:40:33",,,
"2024-05-12 12:40:33",,,
"2024-05-12 12:40:34",,,
"2024-05-12 12:40:34",,,
"2024-05-12 12:40:35",,,
"2024-05-12 12:40:35",,,
"2024-05-12 12:40:36",,,
"2024-05-12 12:40:36",,,
"2024-05-12 12:40:37",,,
"2024-05-12 12:40:37",,,
"2024-05-12 12:40:38",,,
"2024-05-12 12:40:38",,,
"2024-05-12 12:40:39",,,
"2024-05-12 12:40:39",,,
"2024-05-12 12:40:40",,,
"2024-05-12 12:40:40",,,
"2024-05-12 12:40:41",,,
"2024-05-12 12:40:41",,,
"2024-05-12 12:40:42",,,
"2024-05-12 12:40:42",,,
"2024-05-12 12:40:43",,,
"2024-05-12 12:40:43",,,
"2024-05-12 12:40:44",,,
"2024-05-12 12:40:44",,,
"2024-05-12 12:40:45",,,
"2024-05-12 12:40:45",,,
"2024-05-12 12:40:46",,,
"2024-05-12 12:40:46",,,
"2024-05-12 12:40:47",,,
"2024-05-12 12:40:47",,,
"2024-05-12 12:40:48",,,
"2024-05-12 12:40:48",,,
"2024-05-12 12:40:49",,,
"2024-05-12 12:40:49",,,
"2024-05-12 12:40:50",,,
"2024-05-12 12:40:50",,,
"2024-05-12 12:40:51",,,
"2024-05-12 12:40:51",,,
"2024-05-12 12:40:52",,,
"2024-05-12 12:40:52",,,
"2024-05-12 12:40:53",,,
"2024-05-12 12:40:53",,,
"2024-05-12 12:40:54",,,"2.93 s"
"2024-05-12 12:40:54",,,
"2024-05-12 12:40:55",,,
"2024-05-12 12:40:55",,,
"2024-05-12 12:40:56",,,
"2024-05-12 12:40:56",,,
"2024-05-12 12:40:57",,,"2.54 s"
"2024-05-12 12:40:57",,,
"2024-05-12 12:40:58",,,
"2024-05-12 12:40:58",,,
"2024-05-12 12:40:59",,,
"2024-05-12 12:40:59",,,"2.33 s"
"2024-05-12 12:41:00",,,
"2024-05-12 12:41:00",,,
"2024-05-12 12:41:01",,,
"2024-05-12 12:41:01",,,
"2024-05-12 12:41:02",,,
"2024-05-12 12:41:02",,,
"2024-05-12 12:41:03",,,"2.30 s"
"2024-05-12 12:41:03",,,
"2024-05-12 12:41:04",,,
"2024-05-12 12:41:04",,,
"2024-05-12 12:41:05",,,
"2024-05-12 12:41:05",,,
"2024-05-12 12:41:06",,,
"2024-05-12 12:41:06",,,
"2024-05-12 12:41:07",,,"2.39 s"
"2024-05-12 12:41:07",,,
"2024-05-12 12:41:08",,,
"2024-05-12 12:41:08",,,
"2024-05-12 12:41:09",,,
"2024-05-12 12:41:09",,,
"2024-05-12 12:41:10",,,"2.47 s"
"2024-05-12 12:41:10",,,
"2024-05-12 12:41:11",,,
"2024-05-12 12:41:11",,,
"2024-05-12 12:41:12",,,
"2024-05-12 12:41:12",,,
"2024-05-12 12:41:13",,,
"2024-05-12 12:41:13",,,"2.31 s"
"2024-05-12 12:41:14",,,
"2024-05-12 12:41:14",,,
"2024-05-12 12:41:15",,,
"2024-05-12 12:41:15",,,
"2024-05-12 12:41:16",,,
"2024-05-12 12:41:16",,,
"2024-05-12 12:41:17",,,"2.25 s"
"2024-05-12 12:41:17",,,
"2024-05-12 12:41:18",,,
"2024-05-12 12:41:18",,,
"2024-05-12 12:41:19",,,
"2024-05-12 12:41:19",,,
"2024-05-12 12:41:20",,,
"2024-05-12 12:41:20",,,"2.39 s"
"2024-05-12 12:41:21",,,
"2024-05-12 12:41:21",,,
"2024-05-12 12:41:22",,,
"2024-05-12 12:41:22",,,
"2024-05-12 12:41:23",,,
"2024-05-12 12:41:23",,,
"2024-05-12 12:41:24",,,
"2024-05-12 12:41:24",,,"2.33 s"
"2024-05-12 12:41:25",,,
"2024-05-12 12:41:25",,,
"2024-05-12 12:41:26",,,
"2024-05-12 12:41:26","922 ms",,
"2024-05-12 12:41:27",,,
"2024-05-12 12:41:27",,,
"2024-05-12 12:41:28",,,
"2024-05-12 12:41:28","949 ms",,
"2024-05-12 12:41:29",,,
"2024-05-12 12:41:29","896 ms",,
"2024-05-12 12:41:30",,,
"2024-05-12 12:41:30","864 ms",,
"2024-05-12 12:41:31",,,
"2024-05-12 12:41:31",,,
"2024-05-12 12:41:32","894 ms",,
"2024-05-12 12:41:32",,,
"2024-05-12 12:41:33","902 ms",,
"2024-05-12 12:41:33",,,
"2024-05-12 12:41:34",,,
"2024-05-12 12:41:34","1.12 s",,
"2024-05-12 12:41:35",,,
"2024-05-12 12:41:35",,,
"2024-05-12 12:41:36","935 ms",,
"2024-05-12 12:41:36",,,
"2024-05-12 12:41:37","920 ms",,
"2024-05-12 12:41:37",,,
"2024-05-12 12:41:38",,,
"2024-05-12 12:41:38","938 ms",,
"2024-05-12 12:41:39",,,
"2024-05-12 12:41:39",,,
"2024-05-12 12:41:40",,,
"2024-05-12 12:41:40",,,
"2024-05-12 12:41:41",,,
"2024-05-12 12:41:41",,,
"2024-05-12 12:41:42",,,
"2024-05-12 12:41:42",,,
"2024-05-12 12:41:43",,,
"2024-05-12 12:41:43",,,
"2024-05-12 12:41:44",,,
"2024-05-12 12:41:44",,,
"2024-05-12 12:41:45",,,
"2024-05-12 12:41:45",,,
"2024-05-12 12:41:46",,,
"2024-05-12 12:41:46",,,
"2024-05-12 12:41:47",,,
"2024-05-12 12:41:47",,,
"2024-05-12 12:41:48",,,
"2024-05-12 12:41:48",,,
"2024-05-12 12:41:49",,,
"2024-05-12 12:41:49",,,
"2024-05-12 12:41:50",,,
"2024-05-12 12:41:50",,,
"2024-05-12 12:41:51",,,
"2024-05-12 12:41:51",,,
"2024-05-12 12:41:52",,,
"2024-05-12 12:41:52",,,
"2024-05-12 12:41:53",,,
"2024-05-12 12:41:53",,,
"2024-05-12 12:41:54",,,
